"","interactive","little","big","tag"
"734","08.58.09.1",20,14,"0"
"735","08.58.09.2",20,14,"0"
"736","08.58.09.3",20,14,"0"
"737","08.58.09.4",20,14,"0"
"738","08.58.09.4",20,14,"0"
"739","08.58.09.5",20,14,"0"
"740","08.58.09.6",20,14,"0"
"741","08.58.09.7",20,14,"0"
"742","08.58.09.8",20,14,"0"
"743","08.58.09.8",20,14,"0"
"744","08.58.09.9",20,14,"0"
"745","08.58.10.0",20,14,"0"
"746","08.58.10.1",20,14,"0"
"747","08.58.10.2",20,14,"0"
"748","08.58.10.3",20,14,"0"
"749","08.58.10.3",20,14,"0"
"750","08.58.10.4",20,14,"0"
"751","08.58.10.5",20,14,"0"
"752","08.58.10.6",20,14,"0"
"753","08.58.10.7",20,14,"0"
"754","08.58.10.8",20,14,"0"
"755","08.58.10.8",20,14,"0"
"756","08.58.10.9",20,14,"0"
"757","08.58.11.0",20,14,"0"
"758","08.58.11.1",20,14,"0"
"759","08.58.11.2",20,14,"0"
"760","08.58.11.2",20,14,"0"
"761","08.58.11.3",20,14,"0"
"762","08.58.11.4",20,14,"0"
"763","08.58.11.5",20,14,"0"
"764","08.58.11.6",20,14,"0"
"765","08.58.11.7",20,14,"0"
"766","08.58.11.8",20,14,"0"
"767","08.58.11.9",20,14,"0"
"768","08.58.12.0",20,14,"0"
"769","08.58.12.1",2,14,"0"
"770","08.58.12.2",2,14,"0"
"771","08.58.12.3",2,14,"0"
"772","08.58.12.4",2,14,"0"
"773","08.58.12.5",2,14,"0"
"774","08.58.12.7",2,14,"0"
"775","08.58.12.8",2,14,"0"
"776","08.58.12.9",2,14,"0"
"777","08.58.13.0",2,14,"0"
"778","08.58.13.1",2,14,"0"
"779","08.58.13.3",2,14,"0"
"780","08.58.13.4",2,14,"0"
"781","08.58.13.5",2,14,"0"
"782","08.58.13.6",2,14,"0"
"783","08.58.13.8",2,14,"0"
"784","08.58.13.9",2,14,"0"
"785","08.58.14.0",2,14,"0"
"786","08.58.14.1",2,14,"0"
"787","08.58.14.2",2,14,"0"
"788","08.58.14.3",2,14,"0"
"789","08.58.14.4",2,14,"0"
"790","08.58.14.6",2,14,"0"
"791","08.58.14.7",2,14,"0"
"792","08.58.14.8",2,14,"0"
"793","08.58.14.9",2,14,"0"
"794","08.58.15.1",2,14,"0"
"795","08.58.15.2",2,14,"0"
"796","08.58.15.3",2,14,"0"
"797","08.58.15.5",2,14,"0"
"798","08.58.15.6",2,14,"0"
"799","08.58.15.7",2,14,"0"
