"","interactive","little","big","tag"
"168","08.57.21.8",20,14,"1"
"169","08.57.21.9",20,14,"1"
"170","08.57.22.0",20,14,"1"
"171","08.57.22.1",20,14,"1"
"172","08.57.22.2",20,14,"1"
"173","08.57.22.2",20,14,"1"
"174","08.57.22.3",20,14,"1"
"175","08.57.22.4",20,14,"1"
"176","08.57.22.5",20,14,"1"
"177","08.57.22.6",20,14,"1"
"178","08.57.22.7",20,14,"1"
"179","08.57.22.8",20,14,"1"
"180","08.57.22.9",20,14,"1"
"181","08.57.23.0",20,14,"1"
"182","08.57.23.1",20,14,"1"
"183","08.57.23.1",20,14,"1"
"184","08.57.23.2",20,14,"1"
"185","08.57.23.3",20,14,"1"
"186","08.57.23.4",20,14,"1"
"187","08.57.23.5",20,14,"1"
"188","08.57.23.6",20,14,"1"
"189","08.57.23.7",20,14,"1"
"190","08.57.23.8",20,14,"1"
"191","08.57.23.9",20,14,"1"
"192","08.57.24.0",20,14,"1"
"193","08.57.24.1",20,14,"1"
"194","08.57.24.2",20,14,"1"
"195","08.57.24.3",20,14,"1"
"196","08.57.24.4",20,14,"1"
"197","08.57.24.4",20,14,"1"
"198","08.57.24.5",20,14,"1"
"199","08.57.24.6",20,14,"1"
"200","08.57.24.7",20,14,"1"
"201","08.57.24.8",20,14,"1"
"202","08.57.24.9",20,14,"0"
"203","08.57.25.0",20,14,"0"
"204","08.57.25.1",20,14,"0"
"205","08.57.25.2",20,14,"0"
"206","08.57.25.3",20,14,"0"
"207","08.57.25.3",20,14,"0"
"208","08.57.25.4",20,14,"0"
"209","08.57.25.5",20,14,"0"
"210","08.57.25.6",20,14,"0"
"211","08.57.25.7",20,14,"0"
"212","08.57.25.7",20,14,"0"
"213","08.57.25.8",20,14,"0"
"214","08.57.25.9",20,14,"0"
"215","08.57.26.0",20,14,"0"
"216","08.57.26.1",20,14,"0"
"217","08.57.26.1",20,14,"0"
"218","08.57.26.2",20,14,"0"
"219","08.57.26.3",20,14,"0"
"220","08.57.26.4",20,14,"0"
"221","08.57.26.5",20,14,"0"
"222","08.57.26.6",20,14,"0"
"223","08.57.26.6",20,14,"0"
"224","08.57.26.7",20,14,"0"
"225","08.57.26.8",20,14,"0"
"226","08.57.26.9",20,14,"0"
"227","08.57.27.0",20,14,"0"
"228","08.57.27.0",20,14,"0"
"229","08.57.27.1",20,14,"0"
"230","08.57.27.2",20,14,"0"
"231","08.57.27.3",20,14,"0"
"232","08.57.27.4",20,14,"0"
"233","08.57.27.4",20,14,"0"
"234","08.57.27.5",20,14,"0"
"235","08.57.27.6",20,14,"0"
"236","08.57.27.7",20,14,"0"
"237","08.57.27.8",20,14,"0"
"238","08.57.27.8",20,14,"0"
"239","08.57.27.9",20,14,"0"
"240","08.57.28.0",20,14,"0"
"241","08.57.28.1",20,14,"0"
"242","08.57.28.2",20,14,"0"
"243","08.57.28.2",20,14,"0"
"244","08.57.28.3",20,14,"0"
"245","08.57.28.4",20,14,"0"
"246","08.57.28.5",20,14,"0"
"247","08.57.28.6",20,14,"0"
"248","08.57.28.6",20,14,"0"
"249","08.57.28.7",20,14,"0"
"250","08.57.28.8",20,14,"0"
"251","08.57.28.9",20,14,"0"
"252","08.57.29.0",20,14,"0"
"253","08.57.29.0",20,14,"0"
"254","08.57.29.1",20,14,"0"
"255","08.57.29.2",20,14,"0"
"256","08.57.29.3",20,14,"0"
"257","08.57.29.4",20,14,"0"
"258","08.57.29.5",20,14,"0"
"259","08.57.29.5",20,14,"0"
"260","08.57.29.6",20,14,"0"
"261","08.57.29.7",20,14,"0"
"262","08.57.29.8",20,14,"0"
"263","08.57.29.9",20,14,"0"
"264","08.57.29.9",20,14,"0"
"265","08.57.30.0",20,14,"0"
"266","08.57.30.1",20,14,"0"
"267","08.57.30.2",20,14,"0"
"268","08.57.30.3",20,14,"0"
"269","08.57.30.3",20,14,"0"
"270","08.57.30.4",20,14,"0"
"271","08.57.30.5",20,14,"0"
"272","08.57.30.6",20,14,"0"
"273","08.57.30.7",20,14,"0"
"274","08.57.30.7",20,14,"0"
"275","08.57.30.8",20,14,"0"
"276","08.57.30.9",20,14,"0"
"277","08.57.31.0",20,14,"0"
"278","08.57.31.1",20,14,"0"
"279","08.57.31.1",20,14,"0"
"280","08.57.31.2",20,14,"0"
"281","08.57.31.3",20,14,"0"
"282","08.57.31.4",20,14,"0"
"283","08.57.31.5",20,14,"0"
"284","08.57.31.6",20,14,"0"
