,net,web,minEnergyCore,minEnergyFreq,minEnergy,minEnergyLoadTime,minEnergyEDP,minDelayCore,minDelayFreq,minDelay,minDelayEnergy,minDelayEDP,minEDPCore, minEDPFreq,minEDP,minEDPLoadTime,minEDPEnergy
101,wifi,4399,lb,b8-l8,0.954125793,1.649090909,1.573440171,lb,b8-l8,1.649090909,0.954125793,1.573440171,lb,b8-l8,1.573440171,1.649090909,0.954125793
102,wifi,4chan,lb,b8-l8,0.167877756,0.481,0.080749201,lb,b8-l8,0.481,0.167877756,0.080749201,lb,b8-l8,0.080749201,0.481,0.167877756
103,wifi,51fanli,lb,b8-l4,1.887445747,3.066,5.786908659,lb,b12-l4,2.49,2.036995757,5.072119434,lb,b12-l4,5.072119434,2.49,2.036995757
104,wifi,55bbs,lb,b12-l8,1.504769427,1.534545455,2.309137084,lb,b12-l8,1.534545455,1.504769427,2.309137084,lb,b12-l8,2.309137084,1.534545455,1.504769427
105,wifi,58,lb,b8-l8,0.274795187,0.531818182,0.146141077,lb,b8-l8,0.531818182,0.274795187,0.146141077,lb,b8-l8,0.146141077,0.531818182,0.274795187
106,wifi,6pm,lb,b12-l8,1.005201364,0.871666667,0.876200522,lb,b12-l8,0.871666667,1.005201364,0.876200522,lb,b12-l8,0.876200522,0.871666667,1.005201364
107,wifi,abcnews,lb,b12-l8,0.712249934,1.003,0.714386684,lb,b12-l8,1.003,0.712249934,0.714386684,lb,b12-l8,0.714386684,1.003,0.712249934
108,wifi,abril,bb,b4-l4,0.587959487,1.467333333,0.862732554,lb,b12-l8,1.143,0.730345877,0.834785338,lb,b8-l8,0.833220847,1.288333333,0.646743219
109,wifi,acesse,lb,b8-l4,0.132090669,0.434117647,0.05734289,bb,b8-l4,0.39875,0.142529765,0.056833744,bb,b8-l4,0.056833744,0.39875,0.142529765
110,wifi,ad4game,lb,b12-l8,0.629212886,0.73,0.459325406,lb,b12-l8,0.73,0.629212886,0.459325406,lb,b12-l8,0.459325406,0.73,0.629212886
111,wifi,addmefast,lb,b8-l8,0.171926755,0.458181818,0.078773713,lb,b8-l8,0.458181818,0.171926755,0.078773713,lb,b8-l8,0.078773713,0.458181818,0.171926755
112,wifi,adidas,lb,b12-l8,1.028457236,1.557272727,1.601588404,lb,b12-l8,1.557272727,1.028457236,1.601588404,lb,b12-l8,1.601588404,1.557272727,1.028457236
113,wifi,adscale,lb,b8-l4,0.765438991,1.590555556,1.217473239,lb,b12-l8,1.082,1.179269991,1.275970131,lb,b8-l4,1.217473239,1.590555556,0.765438991
114,wifi,aftonbladet,lb,b4-l4,7.149566024,12.2,87.22470549,lb,b8-l4,8.52,8.73478038,74.42032884,lb,b8-l4,74.42032884,8.52,8.73478038
115,wifi,ahrefs,lb,b8-l4,1.539213964,2.365555556,3.641096144,lb,b12-l8,1.844,2.035924351,3.754244504,lb,b8-l4,3.641096144,2.365555556,1.539213964
116,wifi,airbnb,lb,b12-l8,0.515756679,0.706666667,0.364468053,lb,b12-l8,0.706666667,0.515756679,0.364468053,lb,b12-l8,0.364468053,0.706666667,0.515756679
117,wifi,airtel,bb,b8-l4,0.204172475,0.584444444,0.119327469,lb,b12-l8,0.395,0.216982887,0.08570824,lb,b12-l8,0.08570824,0.395,0.216982887
118,wifi,alipay,bb,b8-l4,0.162961058,0.417777778,0.068081508,lb,b8-l8,0.41,0.182674844,0.074896686,bb,b8-l4,0.068081508,0.417777778,0.162961058
119,wifi,allrecipes,lb,b8-l4,0.998515968,1.853333333,1.850582927,lb,b12-l8,1.335,1.318240541,1.759851123,lb,b12-l8,1.759851123,1.335,1.318240541
120,wifi,amazon,lb,b8-l4,0.614138078,1.224444444,0.751977958,lb,b12-l8,0.89,0.707208068,0.62941518,lb,b12-l8,0.62941518,0.89,0.707208068
121,wifi,amazonca,bb,b8-l4,1.314805957,1.722222222,2.264388036,bb,b8-l4,1.722222222,1.314805957,2.264388036,bb,b8-l4,2.264388036,1.722222222,1.314805957
122,wifi,ameba,lb,b8-l4,1.224597682,2.234444444,2.736295487,lb,b12-l8,1.445,1.441547912,2.083036733,lb,b12-l8,2.083036733,1.445,1.441547912
123,wifi,anonym,lb,b8-l8,0.09662164,0.268,0.025894599,lb,b8-l8,0.268,0.09662164,0.025894599,lb,b8-l8,0.025894599,0.268,0.09662164
124,wifi,answers,lb,b12-l8,0.814428647,1.045,0.851077936,lb,b12-l8,1.045,0.814428647,0.851077936,lb,b12-l8,0.851077936,1.045,0.814428647
125,wifi,anysex,lb,b8-l8,2.885886925,3.57,10.30261632,lb,b8-l8,3.57,2.885886925,10.30261632,lb,b8-l8,10.30261632,3.57,2.885886925
126,wifi,aparat,lb,b4-l4,3.237047919,7.435555556,24.06924964,bb,b8-l4,5.697777778,3.807392781,21.69367798,bb,b8-l4,21.69367798,5.697777778,3.807392781
127,wifi,as,lb,b8-l4,3.524769929,5.444444444,19.19041406,lb,b12-l8,3.766,4.208165562,15.84795151,lb,b12-l8,15.84795151,3.766,4.208165562
128,wifi,ashleyrnadison,lb,b8-l8,0.30732029,0.66,0.202831392,lb,b12-l8,0.574,0.346887295,0.199113307,lb,b12-l8,0.199113307,0.574,0.346887295
129,wifi,asos,bb,b8-l4,0.832964742,1.371111111,1.142087213,lb,b12-l8,1.331666667,1.058397821,1.409433099,bb,b8-l4,1.142087213,1.371111111,0.832964742
130,wifi,avast,lb,b8-l4,0.666557008,1.266666667,0.844305544,lb,b12-l8,0.896666667,0.732022531,0.656380203,lb,b12-l8,0.656380203,0.896666667,0.732022531
131,wifi,babycenter,lb,b8-l4,0.252316519,0.686666667,0.173257343,lb,b12-l8,0.436,0.252565057,0.110118365,lb,b12-l8,0.110118365,0.436,0.252565057
132,wifi,backpage,lb,b12-l4,0.500619789,0.817777778,0.409395739,lb,b12-l4,0.817777778,0.500619789,0.409395739,lb,b12-l4,0.409395739,0.817777778,0.500619789
133,wifi,bahn,lb,b8-l8,1.775534041,2.548,4.524060736,lb,b12-l8,2.09,2.091171523,4.370548484,lb,b12-l8,4.370548484,2.09,2.091171523
134,wifi,baidu,lb,b8-l8,0.231741104,0.56,0.129775018,lb,b12-l8,0.456,0.2550806,0.116316753,lb,b12-l8,0.116316753,0.456,0.2550806
135,wifi,baike,bb,b8-l4,1.85033763,2.16,3.99672928,bb,b8-l4,2.16,1.85033763,3.99672928,bb,b8-l4,3.99672928,2.16,1.85033763
136,wifi,bankmellat,bb,b8-l4,0.559161447,0.997777778,0.557918866,bb,b8-l4,0.997777778,0.559161447,0.557918866,bb,b8-l4,0.557918866,0.997777778,0.559161447
137,wifi,bannersdontwork,bb,b8-l4,0.019554867,0.06,0.001173292,bb,b8-l4,0.06,0.019554867,0.001173292,bb,b8-l4,0.001173292,0.06,0.019554867
138,wifi,basecamp,lb,b8-l4,0.547571509,1.253333333,0.686289624,lb,b12-l8,0.846666667,0.599832279,0.507857996,lb,b12-l8,0.507857996,0.846666667,0.599832279
139,wifi,battlefield,bb,b8-l4,0.894072307,1.451111111,1.297398259,lb,b12-l8,1.216,1.180908777,1.435985073,bb,b8-l4,1.297398259,1.451111111,0.894072307
140,wifi,bbc,lb,b8-l4,1.93362256,3.066666667,5.929775852,lb,b12-l8,2.158,2.18919433,4.724281364,lb,b12-l8,4.724281364,2.158,2.18919433
141,wifi,bestblackhatforum,lb,b8-l4,0.604789928,1.017777778,0.615541749,lb,b12-l8,0.711666667,0.749449982,0.53335857,lb,b12-l4,0.512757817,0.775555556,0.661149048
142,wifi,beva,lb,b8-l4,0.656961014,1.5875,1.042925609,lb,b12-l8,0.996,0.732418312,0.729488639,bb,b8-l4,0.72002137,1.06,0.679265443
